ID,City,Area,Name,Cuisine,Category,Meal Tags,Breakfast,Lunch,Dinner,Cafe/Dessert,Michelin,Tabelog Research,GF Confidence,Lactose-Free Confidence,Price,Reservation,Must Order / Experience,Notes,Priority,Status,Favorite,Reservation Status,Opening Hours Check,Open Early,Google Maps Link,Tabelog Link,Michelin Source,Official / Booking Link,Last Checked,Dietary Note
TO-011,Tokyo,Ginza,Sushi Yoshitake,Sushi,Sushi,Dinner,No,No,Yes,No,2★ / MICHELIN Guide,Tabelog highly rated,Confirm before booking,Naturally low dairy,¥¥¥¥,Required,Omakase,Strict cancellation and dietary policies likely.,Bucket list,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Sushi+Yoshitake+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Sushi+Yoshitake,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-012,Tokyo,Ginza,Harutaka,Sushi,Sushi,Dinner,No,No,Yes,No,MICHELIN Guide selection,Tabelog highly rated,Confirm before booking,Naturally low dairy,¥¥¥¥,Required,Omakase,"Ask about soy sauce, vinegar, and marinated items.",Bucket list,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Harutaka+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Harutaka,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-013,Tokyo,Nihonbashi,GINZA HACHIGO,Ramen,Ramen,Lunch,No,Yes,No,No,MICHELIN Guide / verify distinction,Tabelog highly rated,Usually not GF,Often dairy-free but verify broth,¥¥,Queue/Reservation,Signature ramen,Not a practical GF choice; included for group options.,Consider,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=GINZA+HACHIGO+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=GINZA+HACHIGO,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-014,Tokyo,Tokyo Station,Soranoiro NIPPON,Ramen,Ramen,"Breakfast,Lunch,Dinner",Yes,Yes,Yes,No,—,Tabelog popular,GF noodle option reported; verify current menu,Verify broth and toppings,¥¥,No,Gluten-free ramen option,Convenient arrival/departure backup.,Top pick,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Soranoiro+NIPPON+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Soranoiro+NIPPON,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-015,Tokyo,Ebisu,AFURI,Ramen,Ramen,"Lunch,Dinner",No,Yes,Yes,No,—,Tabelog popular,Usually not GF; some locations may have alternative noodles,Verify broth/toppings,¥¥,No,Yuzu shio ramen,Useful for other travelers; not a GF anchor.,Consider,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=AFURI+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=AFURI,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-016,Tokyo,Shinjuku,Gyukatsu Motomura,Gyukatsu,Gyukatsu,"Lunch,Dinner",No,Yes,Yes,No,—,Tabelog popular,Not GF in standard form,Usually low dairy; verify batter/sauce,¥¥,Queue,Gyukatsu,From the user's Japan Tips; standard breading contains gluten.,Group option,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Gyukatsu+Motomura+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Gyukatsu+Motomura,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-017,Tokyo,Shinjuku,Mo-Mo-Paradise Kabukicho,Shabu-shabu,Shabu-shabu,"Lunch,Dinner",No,Yes,Yes,No,—,Tabelog popular,Potentially adaptable; verify sauces/broth,Usually adaptable,¥¥¥,Recommended,Shabu-shabu,From the user's Japan Tips; request plain broth/meat/vegetables.,Group option,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Mo-Mo-Paradise+Kabukicho+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Mo-Mo-Paradise+Kabukicho,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-018,Tokyo,Toyosu,Wagyu to Worldwide,Wagyu burger,Wagyu burger,"Lunch,Dinner",No,Yes,Yes,No,—,Tabelog candidate,Standard bun/sauces not GF,Cheese can be omitted,¥¥,No/varies,Wagyu burger,From the user's Japan Tips; ask about bun-free preparation.,Group option,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Wagyu+to+Worldwide+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Wagyu+to+Worldwide,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-019,Tokyo,Akasaka,Akasaka Kikunoi,Kaiseki,Kaiseki,"Lunch,Dinner",No,Yes,Yes,No,2★ / MICHELIN Guide,Tabelog highly rated,Confirm before booking,Confirm before booking,¥¥¥¥,Required,Kaiseki,Convenient to Akasaka base; ideal only with written accommodation.,Bucket list,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Akasaka+Kikunoi+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Akasaka+Kikunoi,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-020,Tokyo,Ginza,GINZA KUKI,Japanese,Japanese,Dinner,No,No,Yes,No,MICHELIN Guide selection,Tabelog candidate,Confirm before booking,Confirm before booking,¥¥¥,Required,Fermentation-focused menu,"Potentially interesting, but soy/miso requires careful checking.",Top pick,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=GINZA+KUKI+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=GINZA+KUKI,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-021,Tokyo,Shinjuku,Tokyo Mentsudan,Udon,Udon,"Lunch,Dinner",No,Yes,Yes,No,—,Tabelog popular,Not GF,Likely dairy-free,¥,No,Sanuki udon,"Budget group option, not suitable for GF diner.",Group option,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Tokyo+Mentsudan+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Tokyo+Mentsudan,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-022,Tokyo,Asakusa,Suke6 Diner,Cafe,Cafe,"Breakfast,Lunch,Cafe",Yes,Yes,No,Yes,—,Tabelog popular,Limited GF; ask,Plant milk/omit dairy likely,¥¥,No,Breakfast plate / coffee,Early breakfast atmosphere near Asakusa.,Consider,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Suke6+Diner+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Suke6+Diner,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-023,Tokyo,Shibuya,BUY ME STAND,Cafe / Sandwiches,Cafe,"Breakfast,Lunch,Cafe",Yes,Yes,No,Yes,—,Tabelog popular,Not reliably GF,Can omit cheese on some items,¥¥,No,Breakfast sandwich,Stylish breakfast for other travelers.,Consider,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=BUY+ME+STAND+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=BUY+ME+STAND,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-024,Tokyo,Ginza,Tsukiji Outer Market seafood stalls,Seafood / Market,Market,"Breakfast,Lunch",Yes,Yes,No,No,—,Tabelog area research,Choose plain sashimi/grilled seafood; verify sauces,Mostly easy if plain,¥-¥¥¥,No,"Sashimi, grilled seafood",Treat individual stalls separately; carry allergy card.,Top pick,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Tsukiji+Outer+Market+seafood+stalls+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Tsukiji+Outer+Market+seafood+stalls,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-025,Tokyo,Toyosu,Daiwa Sushi,Sushi,Sushi / Breakfast,"Breakfast,Lunch",Yes,Yes,No,No,—,Tabelog highly rated,Confirm soy sauce/marinades,Naturally low dairy,¥¥¥,Queue,Sushi breakfast,Early market experience; dietary communication may be limited.,Consider,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Daiwa+Sushi+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Daiwa+Sushi,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-026,Tokyo,Toyosu,Sushi Dai,Sushi,Sushi / Breakfast,"Breakfast,Lunch",Yes,Yes,No,No,—,Tabelog highly rated,Confirm soy sauce/marinades,Naturally low dairy,¥¥¥,Long queue,Sushi breakfast,Famous but time-intensive.,Consider,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Sushi+Dai+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Sushi+Dai,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-027,Tokyo,Ginza,GINZA WEST,Cafe / Dessert,Cafe,"Breakfast,Lunch,Cafe,Dessert",Yes,Yes,No,Yes,—,Tabelog classic,Limited GF,Not LF by default,¥¥,No,Pancakes / cakes,Classic café for companions; not dietary-safe without confirmation.,Consider,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=GINZA+WEST+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=GINZA+WEST,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-028,Tokyo,Aoyama,Blue Bottle Coffee Aoyama,Coffee,Coffee,"Breakfast,Cafe",Yes,No,No,Yes,—,Tabelog popular,Packaged items vary; coffee itself GF,Plant milk available; verify,¥,No,Coffee,Reliable early coffee stop.,Backup,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Blue+Bottle+Coffee+Aoyama+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Blue+Bottle+Coffee+Aoyama,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-029,Tokyo,Shibuya,Fuglen Tokyo,Coffee / Cafe,Coffee,"Breakfast,Cafe",Yes,No,No,Yes,—,Tabelog popular,Food varies,Plant milk typically available; verify,¥,No,Coffee,Good morning coffee near Shibuya.,Consider,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Fuglen+Tokyo+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Fuglen+Tokyo,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-030,Tokyo,Jimbocho,Glitch Coffee & Roasters,Coffee,Coffee,"Breakfast,Cafe",Yes,No,No,Yes,—,Tabelog highly rated,Coffee GF; pastries vary,Black coffee safe; plant milk varies,¥¥,No,Single-origin coffee,Destination coffee stop.,Top pick,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Glitch+Coffee+%26+Roasters+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Glitch+Coffee+%26+Roasters,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-031,Tokyo,Omotesando,KOFFEE MAMEYA,Coffee,Coffee,Cafe,No,No,No,Yes,—,Tabelog highly rated,Coffee GF,Black coffee LF,¥¥,Queue,Coffee tasting,Compact specialty coffee experience.,Top pick,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=KOFFEE+MAMEYA+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=KOFFEE+MAMEYA,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-032,Tokyo,Shinjuku,MORETHAN TAPAS LOUNGE,Buffet / Cafe,Hotel Breakfast,"Breakfast,Lunch,Dinner",Yes,Yes,Yes,No,—,Tabelog popular,Buffet cross-contact risk; ask,Some LF options,¥¥¥,Recommended,Breakfast buffet,"Convenient large-group breakfast, not a strict GF anchor.",Consider,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=MORETHAN+TAPAS+LOUNGE+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=MORETHAN+TAPAS+LOUNGE,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-033,Tokyo,Marunouchi,The Tokyo Station Hotel Atrium,Hotel Breakfast,Hotel Breakfast,Breakfast,Yes,No,No,No,—,Tabelog hotel dining,Advance dietary request,Advance dietary request,¥¥¥¥,Required,Japanese/Western breakfast,Special breakfast experience; request accommodation in writing.,Consider,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=The+Tokyo+Station+Hotel+Atrium+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=The+Tokyo+Station+Hotel+Atrium,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-034,Tokyo,Akasaka,The Capitol Hotel Tokyu ORIGAMI,Hotel Dining,Hotel Dining,"Breakfast,Lunch,Dinner",Yes,Yes,Yes,No,—,Tabelog hotel dining,Advance request recommended,Advance request recommended,¥¥¥,Recommended,Japanese breakfast / comfort food,Convenient near Akasaka; good fallback if hotel-based.,Consider,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=The+Capitol+Hotel+Tokyu+ORIGAMI+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=The+Capitol+Hotel+Tokyu+ORIGAMI,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-035,Tokyo,Ginza,GINZA KOSO,Wagyu / Beef,Wagyu / Beef,"Lunch,Dinner",No,Yes,Yes,No,—,Tabelog popular,Potentially adaptable; verify sauces,Usually adaptable; omit butter,¥¥¥,Recommended,Wagyu dishes,Ask for plain salt preparation.,Consider,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=GINZA+KOSO+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=GINZA+KOSO,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-036,Tokyo,Ebisu,Peter Luger Tokyo,Steakhouse,Steakhouse,"Lunch,Dinner",No,Yes,Yes,No,—,Tabelog popular,Steak adaptable; verify seasoning/sides,Omit butter/cream,¥¥¥¥,Required,Steak,"Not uniquely Japanese, but dietary adaptation may be easier.",Consider,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Peter+Luger+Tokyo+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Peter+Luger+Tokyo,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-037,Tokyo,Shibuya,The Bellwood,Bar food,Bar food,Dinner,No,No,Yes,No,MICHELIN Guide selection,Tabelog highly rated,Confirm dish by dish,Confirm dish by dish,¥¥¥,Recommended,Cocktails + creative bites,Late-night option; not a strict dietary anchor.,Consider,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=The+Bellwood+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=The+Bellwood,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-038,Tokyo,Asakusa,grill GRAND,Yoshoku,Yoshoku,"Lunch,Dinner",No,Yes,Yes,No,Bib Gourmand / MICHELIN Guide,Tabelog popular,Usually difficult GF,Dairy likely; ask,¥¥,Queue/Recommended,Omurice / stew,Included for group options; not ideal for restrictions.,Consider,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=grill+GRAND+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=grill+GRAND,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-039,Tokyo,Kanda,Kanda Matsuya,Soba,Soba,"Lunch,Dinner",No,Yes,Yes,No,MICHELIN Guide selection,Tabelog classic,Soba may contain wheat; ask about 100% buckwheat,Usually dairy-free,¥¥,Queue,Soba,Do not assume soba is gluten-free.,Consider,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Kanda+Matsuya+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Kanda+Matsuya,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-040,Tokyo,Shinjuku,Omoide Yokocho yakitori stalls,Yakitori / Izakaya,Yakitori / Izakaya,Dinner,No,No,Yes,No,—,Tabelog area research,Choose salt-grilled items; cross-contact possible,Usually low dairy,¥-¥¥,No,Shio yakitori,Atmospheric but communication/cross-contact can be challenging.,Group option,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Omoide+Yokocho+yakitori+stalls+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Omoide+Yokocho+yakitori+stalls,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-041,Tokyo,Roppongi,Tsurutontan Roppongi,Udon,Udon,"Lunch,Dinner,Late Night",No,Yes,Yes,No,—,Tabelog popular,Not GF,Many dishes dairy-free,¥¥,Queue,Udon,Useful late-night group option; not GF.,Group option,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Tsurutontan+Roppongi+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Tsurutontan+Roppongi,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-042,Tokyo,Tokyo Station,Eric South Yaesu,South Indian,South Indian,"Lunch,Dinner",No,Yes,Yes,No,Bib Gourmand / MICHELIN Guide,Tabelog popular,Many rice-based dishes; verify kitchen,Often lactose-free choices; ask about ghee/yogurt,¥¥,Queue,Meals / curry set,Potentially strong casual option if ghee and cross-contact are clarified.,Top pick,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Eric+South+Yaesu+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Eric+South+Yaesu,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
KY-043,Kyoto,Nanzenji,Hyotei,Kaiseki,Kaiseki / Breakfast,"Breakfast,Lunch,Dinner",Yes,Yes,Yes,No,3★ / MICHELIN Guide,Tabelog highly rated,Confirm before booking,Confirm before booking,¥¥¥¥,Required,Traditional breakfast or kaiseki,Historic choice; breakfast is especially distinctive.,Bucket list,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Hyotei+Kyoto+Japan,https://tabelog.com/en/rstLst/?sk=Hyotei,https://guide.michelin.com/us/en/kyoto-region/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
KY-044,Kyoto,Higashiyama,Kikunoi Honten,Kaiseki,Kaiseki,"Lunch,Dinner",No,Yes,Yes,No,3★ / MICHELIN Guide,Tabelog highly rated,Confirm before booking,Confirm before booking,¥¥¥¥,Required,Kaiseki,Dietary changes must be arranged before booking.,Bucket list,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Kikunoi+Honten+Kyoto+Japan,https://tabelog.com/en/rstLst/?sk=Kikunoi+Honten,https://guide.michelin.com/us/en/kyoto-region/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
KY-045,Kyoto,Gion,Gion Sasaki,Japanese,Japanese,Dinner,No,No,Yes,No,3★ / MICHELIN Guide,Tabelog highly rated,Confirm before booking,Confirm before booking,¥¥¥¥,Required,Chef's menu,High-energy counter experience.,Bucket list,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Gion+Sasaki+Kyoto+Japan,https://tabelog.com/en/rstLst/?sk=Gion+Sasaki,https://guide.michelin.com/us/en/kyoto-region/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
